Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Guinea-Bissau,GNB,700,700,720,730,740,760,730,710,710,770,780,910,930,930,880,870,950,960,930,990,1040,1020,1120,1110,1060,1130,1130,1140,1190,1200,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Guyana,GUY,630,830,890,1010,990,1190,1180,1220,1120,1220,1000,1050,940,1110,1000,940,900,930,1020,1060,1110,1170,1200,1340,1480,1540,1230,1380,1340,1610,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Haiti,HTI,2150,2300,2650,2510,2490,2500,2520,2660,2670,2700,2920,2930,2950,2970,2950,2960,2950,2970,2960,2980,2990,3010,3010,3020,3020,3050,3140,3150,3140,3150,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Honduras,HND,3850,3820,3760,3340,3640,3380,3370,3270,3110,2760,2860,2980,3340,3990,3900,4110,3970,4010,4090,4290,4300,4350,4340,4420,4460,4420,4510,4510,4610,4630,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Hungary,HUN,5000,4880,4300,3730,3290,2960,3070,3020,2910,2990,2950,2820,2780,2800,2760,2640,2590,2540,2500,2450,2400,2360,2290,2410,2440,2470,2500,2490,2530,2540,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Iceland,ISL,330,330,320,320,320,310,320,320,320,320,310,300,290,290,280,290,300,300,300,310,310,310,300,290,310,320,310,310,310,300,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,India,IND,433940,437560,440170,443690,446370,448120,451530,452400,456390,457740,456450,458380,449350,454750,459040,470030,476480,485860,490360,481090,484130,487580,484400,487510,487660,489140,491430,495720,499610,500220,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Indonesia,IDN,78110,77380,82720,81360,80940,84930,85980,83970,85890,85860,84300,82830,84080,82620,85320,84400,85140,85250,86010,87560,88620,88930,90660,86480,89040,89760,89270,91740,91020,88960,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Iran, Islamic Rep.",IRN,21390,20870,22460,22630,22860,23220,23860,23890,24540,24060,23280,23040,22590,22740,23020,23370,23490,23550,20990,21340,21600,20800,21010,20880,16000,16970,17510,16050,16290,16690,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Iraq,IRQ,3940,2840,3290,3890,3990,3780,3050,3400,3570,3470,3410,3350,3440,2710,2980,3430,3550,3720,3800,4460,4520,4760,4890,4610,4620,3390,3540,3700,3410,4950,..,..
